"COLORADO RV BLW HOOVER DAM, AZ-NV"
00:00,45.32
00:05,45.07
00:10,44.93
00:15,44.86
00:20,44.81
00:25,44.80
00:30,44.78
00:35,44.78
00:40,44.78
00:45,44.78
00:50,44.78
00:55,44.74
01:00,44.60
01:05,44.31
01:10,44.15
01:15,44.05
01:20,43.98
01:25,43.93
01:30,43.88
01:35,43.81
01:40,43.76
01:45,43.75
01:50,43.78
01:55,43.79
02:00,43.80
02:05,43.84
02:10,43.89
02:15,43.94
02:20,43.99
02:25,44.06
02:30,44.12
02:35,44.14
02:40,44.13
02:45,44.12
02:50,44.12
02:55,44.12
03:00,44.11
03:05,44.07
03:10,44.04
03:15,44.03
03:20,44.01
03:25,43.98
03:30,43.97
03:35,43.95
03:40,43.95
03:45,43.94
03:50,43.93
03:55,43.92
04:00,43.88
04:05,43.94
04:10,43.99
04:15,44.02
04:20,44.05
04:25,44.08
04:30,44.13
04:35,44.19
04:40,44.24
04:45,44.28
04:50,44.33
04:55,44.53
05:00,44.54
05:05,44.87
05:10,45.30
05:15,45.58
05:20,45.73
05:25,45.82
05:30,45.89
05:35,46.07
05:40,46.34
05:45,46.41
05:50,46.45
05:55,46.58
06:00,46.82
06:05,47.42
06:10,48.12
06:15,48.66
06:20,48.96
06:25,49.15
06:30,49.30
06:35,49.43
06:40,49.53
06:45,49.61
06:50,49.66
06:55,49.69
07:00,49.55
07:05,48.70
07:10,48.10
07:15,47.74
07:20,47.49
07:25,47.06
07:30,46.47
07:35,46.06
07:40,45.75
07:45,45.51
07:50,45.31
07:55,45.10
08:15,43.81
08:20,43.66
08:25,43.51
08:30,43.30
08:35,43.13
08:40,42.99
08:45,42.89
08:50,42.84
08:55,42.81
09:00,42.77
09:05,42.88
09:10,42.83
09:15,42.84
09:20,42.83
09:25,42.86
09:30,42.92
09:35,43.01
09:40,43.12
09:45,43.18
09:50,43.24
09:55,43.30
10:00,43.39
10:05,43.50
10:10,43.57
10:15,43.60
10:20,43.61
10:25,43.67
10:30,43.76
10:35,43.85
10:40,43.94
10:45,44.02
10:50,44.08
10:55,44.14
11:00,44.19
11:05,44.25
11:10,44.34
11:15,44.43
11:20,44.47
11:25,44.49
11:30,44.54
11:35,44.59
11:40,44.61
11:45,44.61
11:50,44.59
11:55,44.55
12:00,44.49
12:05,44.47
12:10,44.45
12:15,44.41
12:20,44.35
12:25,44.26
12:30,44.17
12:35,44.06
12:40,43.97
12:45,43.91
12:50,43.84
12:55,43.73
13:00,43.64
13:05,43.54
13:10,43.44
13:15,43.36
13:20,43.28
13:25,43.22
13:30,43.16
13:35,43.14
13:40,43.13
13:45,43.12
13:50,43.12
13:55,43.12
14:00,43.14
14:05,43.16
14:10,43.19
14:15,43.23
14:20,43.26
14:25,43.29
14:30,43.36
14:35,43.46
14:40,43.56
14:45,43.63
14:50,43.69
14:55,43.75
15:00,43.83
15:05,43.86
15:10,43.93
15:15,44.01
15:20,44.07
15:25,44.11
15:30,44.13
15:35,44.14
15:40,44.16
15:45,44.16
15:50,44.15
15:55,44.30
16:00,44.40
16:05,44.27
16:10,44.43
16:15,44.69
16:20,44.74
16:25,44.75
16:30,44.91
16:35,44.97
16:40,44.97
16:45,44.98
16:50,44.98
16:55,45.09
17:00,45.09
17:05,45.31
17:10,45.69
17:15,45.99
17:20,46.11
17:25,46.20
17:30,46.19
17:35,46.09
17:40,46.29
17:45,46.47
17:50,46.62
17:55,46.77
18:00,46.91
18:05,47.30
18:10,47.67
18:15,48.02
18:20,48.24
18:25,48.37
18:30,48.44
18:35,48.55
18:40,48.50
18:45,48.41
18:50,48.47
18:55,48.54
19:00,48.47
19:05,48.16
19:10,47.90
19:15,47.75
19:20,47.64
19:25,47.59
19:30,47.54
19:35,47.38
19:40,47.27
19:45,47.21
19:50,47.12
19:55,46.95
20:00,46.76
20:05,46.70
20:10,46.72
20:15,46.72
20:20,46.65
20:25,46.57
20:30,46.52
20:35,46.50
20:40,46.69
20:45,46.76
20:50,46.84
20:55,46.83
21:00,46.65
21:05,46.72
21:10,46.78
21:15,46.86
21:20,46.86
21:25,46.85
21:30,46.81
21:35,46.73
21:40,46.72
21:45,46.73
21:50,46.85
21:55,46.90
22:00,46.85
22:05,46.42
22:10,46.14
22:15,45.91
22:20,45.64
22:25,45.42
22:30,45.27
22:35,45.07
22:40,44.89
22:45,44.77
22:50,44.71
22:55,44.77
23:00,44.82
23:05,44.77
23:10,44.76
23:15,44.75
23:20,44.77
23:25,44.79
23:30,44.80
23:35,44.72
23:40,44.62
23:45,44.57
23:50,44.54
23:55,44.52
